ENSG	most_tx
ENSG00000007923	ENST00000377577
ENSG00000007933	ENST00000367755
ENSG00000007944	ENST00000356840
ENSG00000007952	ENST00000372966
ENSG00000007968	ENST00000361729
ENSG00000008018	ENST00000262193
ENSG00000008056	ENST00000640721
ENSG00000008083	ENST00000397311
ENSG00000008086	ENST00000623535
ENSG00000008118	ENST00000361322
ENSG00000008128	ENST00000404249
ENSG00000008130	ENST00000341991
ENSG00000008196	ENST00000393655
ENSG00000008197	ENST00000008391
ENSG00000008226	ENST00000308059
ENSG00000008256	ENST00000350796
ENSG00000008277	ENST00000398209
ENSG00000008282	ENST00000455385
ENSG00000008283	ENST00000360793
ENSG00000008294	ENST00000262013
ENSG00000008300	ENST00000461362
ENSG00000008311	ENST00000681213
ENSG00000008323	ENST00000684764
ENSG00000008324	ENST00000447630
ENSG00000008382	ENST00000599840
ENSG00000008394	ENST00000396210
ENSG00000008405	ENST00000008527
ENSG00000008441	ENST00000360105
ENSG00000008513	ENST00000522652
ENSG00000008516	ENST00000336577
ENSG00000008517	ENST00000525643
ENSG00000008710	ENST00000472577
ENSG00000008735	ENST00000329492
ENSG00000008838	ENST00000394128
ENSG00000008853	ENST00000690180
ENSG00000008869	ENST00000233099
ENSG00000008952	ENST00000480708
ENSG00000008988	ENST00000009589
ENSG00000009307	ENST00000339438
ENSG00000009335	ENST00000348165
ENSG00000009413	ENST00000462119
ENSG00000009694	ENST00000371130
ENSG00000009709	ENST00000420770
ENSG00000009724	ENST00000400897
ENSG00000009765	ENST00000344419
ENSG00000009780	ENST00000373954
ENSG00000009790	ENST00000367025
ENSG00000009830	ENST00000261534
ENSG00000009844	ENST00000367621
ENSG00000009950	ENST00000313375
ENSG00000009954	ENST00000339594
ENSG00000010017	ENST00000011619
ENSG00000010030	ENST00000340181
ENSG00000010072	ENST00000295050
ENSG00000010165	ENST00000361735
ENSG00000010219	ENST00000544050
ENSG00000010244	ENST00000394673
ENSG00000010256	ENST00000203407
ENSG00000010270	ENST00000009041
ENSG00000010278	ENST00000009180
ENSG00000010282	ENST00000441594
ENSG00000010292	ENST00000315579
ENSG00000010295	ENST00000396830
ENSG00000010310	ENST00000590918
ENSG00000010318	ENST00000482327
ENSG00000010319	ENST00000231721
ENSG00000010322	ENST00000345716
ENSG00000010327	ENST00000469989
ENSG00000010361	ENST00000313777
ENSG00000010379	ENST00000343164
ENSG00000010404	ENST00000340855
ENSG00000010438	ENST00000361005
ENSG00000010539	ENST00000414144
ENSG00000010610	ENST00000011653
ENSG00000010626	ENST00000451681
ENSG00000010671	ENST00000308731
ENSG00000010704	ENST00000357618
ENSG00000010803	ENST00000397174
ENSG00000010810	ENST00000368667
ENSG00000010818	ENST00000367603
ENSG00000010932	ENST00000354841
ENSG00000011007	ENST00000613537
ENSG00000011009	ENST00000374514
ENSG00000011021	ENST00000346436
ENSG00000011028	ENST00000583597
ENSG00000011052	ENST00000393193
ENSG00000011083	ENST00000230671
ENSG00000011105	ENST00000011898
ENSG00000011114	ENST00000355125
ENSG00000011132	ENST00000316757
ENSG00000011143	ENST00000393119
ENSG00000011198	ENST00000644371
ENSG00000011201	ENST00000262648
ENSG00000011243	ENST00000397410
ENSG00000011258	ENST00000415868
ENSG00000011260	ENST00000225298
ENSG00000011275	ENST00000425013
ENSG00000011295	ENST00000475723
ENSG00000011304	ENST00000356948
ENSG00000011332	ENST00000355526
ENSG00000011347	ENST00000263846
ENSG00000011376	ENST00000645846
ENSG00000011405	ENST00000265970
ENSG00000011422	ENST00000340093
ENSG00000011426	ENST00000265748
ENSG00000011451	ENST00000545156
ENSG00000011454	ENST00000373647
ENSG00000011465	ENST00000552962
ENSG00000011478	ENST00000012049
ENSG00000011485	ENST00000012443
ENSG00000011523	ENST00000377990
ENSG00000011566	ENST00000437545
ENSG00000011590	ENST00000392197
ENSG00000011600	ENST00000262629
ENSG00000011638	ENST00000233047
ENSG00000011677	ENST00000370314
ENSG00000012048	ENST00000352993
ENSG00000012061	ENST00000300853
ENSG00000012124	ENST00000085219
ENSG00000012171	ENST00000433753
ENSG00000012174	ENST00000379484
ENSG00000012211	ENST00000599218
ENSG00000012223	ENST00000231751
ENSG00000012232	ENST00000220562
ENSG00000012504	ENST00000392986
ENSG00000012660	ENST00000304434
ENSG00000012779	ENST00000374391
ENSG00000012817	ENST00000382806
ENSG00000012822	ENST00000546443
ENSG00000012963	ENST00000013070
ENSG00000012983	ENST00000682126
ENSG00000013275	ENST00000455878
ENSG00000013288	ENST00000285599
ENSG00000013293	ENST00000231706
ENSG00000013297	ENST00000489485
ENSG00000013306	ENST00000225308
ENSG00000013364	ENST00000357402
ENSG00000013374	ENST00000413040
ENSG00000013375	ENST00000513973
ENSG00000013441	ENST00000321356
ENSG00000013503	ENST00000228347
ENSG00000013523	ENST00000251089
ENSG00000013561	ENST00000394514
ENSG00000013563	ENST00000309585
ENSG00000013573	ENST00000542838
ENSG00000013583	ENST00000014930
ENSG00000013588	ENST00000014914
ENSG00000013619	ENST00000464149
ENSG00000013725	ENST00000313421
ENSG00000013810	ENST00000313288
ENSG00000014123	ENST00000369278
ENSG00000014138	ENST00000534785
ENSG00000014164	ENST00000262577
ENSG00000014216	ENST00000279247
ENSG00000014257	ENST00000336375
ENSG00000014641	ENST00000495083
ENSG00000014824	ENST00000264451
ENSG00000014914	ENST00000439741
ENSG00000014919	ENST00000016171
ENSG00000015133	ENST00000556726
ENSG00000015153	ENST00000380790
ENSG00000015171	ENST00000381604
ENSG00000015285	ENST00000376701
ENSG00000015413	ENST00000690203
ENSG00000015475	ENST00000622694
ENSG00000015479	ENST00000502499
ENSG00000015520	ENST00000381160
ENSG00000015532	ENST00000017003
